"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Page Editing","Inspector","","0","0","18","0","0"
"Page Editing","Don't remind me again","","2","0","4","0","0"
"Page Editing","Screen size","","1","0","1","0","0"
"Page Editing","Element","Heading element","0","0","2","0","0"
"Page Editing","Save and Publish","","2","0","4","0","0"
"Page Editing","","","1","0","6","0","0"
"Page Editing","Editor helpers","","0","0","5","0","0"
"Page Editing","Element","Layout element","0","0","2","0","0"
"Page Editing","Editor settings","","0","0","5","0","0"
"Page Editing","Leave page","","0","0","4","0","0"
"Undo/Redo","Template page","","0","0","2","0","0"
"Page Editing","Element","Paragraph element","0","0","2","0","0"
"Page Editing","Element","Image element","0","0","1","0","0"
"Sample Test","Sample Test Feature","","0","0","1","0","0"
"Page Editing","Element","Button element","0","0","1","0","0"
