"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40094","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:08:01 GMT 2024","passed","Mon Dec 02 06:08:41 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","25460","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:08:41 GMT 2024","passed","Mon Dec 02 06:09:07 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","9424","TC-017: User export selected pages from PageFly","V4.11.5 Basic UAT","Mon Dec 02 06:06:24 GMT 2024","passed","Mon Dec 02 06:06:34 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","exportPageInThePageListingScreen"
"","0","TC-010: User create Blank page (Flex layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 09:11:56 GMT 2024","unknown","Mon Dec 02 09:11:56 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageFlexLayoutFromPageListing"
"","27678","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:11:00 GMT 2024","passed","Mon Dec 02 06:11:28 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","31056","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:07:30 GMT 2024","passed","Mon Dec 02 06:08:01 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","29366","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:09:55 GMT 2024","passed","Mon Dec 02 06:10:24 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","0","TC-011: User create Template page (Flex layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 09:11:56 GMT 2024","unknown","Mon Dec 02 09:11:56 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageFlexLayoutFromPageListing"
"","14159","TC-012: User publish page in the Page listing screen","V4.11.5 Basic UAT","Mon Dec 02 06:11:41 GMT 2024","passed","Mon Dec 02 06:11:55 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","publishPageInThePageListingScreen"
"","10465","TC-016: User export all pages from PageFly","V4.11.5 Basic UAT","Mon Dec 02 06:06:14 GMT 2024","passed","Mon Dec 02 06:06:24 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","exportAllPagesInThePageListingScreen"
"","26066","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:06:34 GMT 2024","passed","Mon Dec 02 06:07:00 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","30367","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:07:00 GMT 2024","passed","Mon Dec 02 06:07:30 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","21621","TC-015: User delete pages that are created in PageFly","V4.11.5 Basic UAT","Mon Dec 02 06:11:55 GMT 2024","passed","Mon Dec 02 06:12:16 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","deletePageInThePageListingScreen"
"","12831","TC-013: User unpublish page in the Page listing screen","V4.11.5 Basic UAT","Mon Dec 02 06:11:28 GMT 2024","passed","Mon Dec 02 06:11:41 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","unpublishPageInThePageListingScreen"
"","35575","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:10:24 GMT 2024","passed","Mon Dec 02 06:11:00 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","17910","TC-014: User duplicate page in the Page listing screen","V4.11.5 Basic UAT","Mon Dec 02 09:11:57 GMT 2024","passed","Mon Dec 02 09:12:15 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","duplicatePageInThePageListingScreen"
"","23793","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:09:07 GMT 2024","passed","Mon Dec 02 06:09:31 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","24232","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:09:31 GMT 2024","passed","Mon Dec 02 06:09:55 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
