"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26066","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:06:34 GMT 2024","passed","Mon Dec 02 06:07:00 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","31056","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:07:30 GMT 2024","passed","Mon Dec 02 06:08:01 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","12831","TC-013: User unpublish page in the Page listing screen","V4.11.5 Basic UAT","Mon Dec 02 06:11:28 GMT 2024","passed","Mon Dec 02 06:11:41 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","unpublishPageInThePageListingScreen"
"","30367","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:07:00 GMT 2024","passed","Mon Dec 02 06:07:30 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","35575","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:10:24 GMT 2024","passed","Mon Dec 02 06:11:00 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","27678","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:11:00 GMT 2024","passed","Mon Dec 02 06:11:28 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","29366","TC-011: User create Template page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:09:55 GMT 2024","passed","Mon Dec 02 06:10:24 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateTemplatePageLegacyLayoutFromPageListing"
"","25460","TC-010: User create Blank page (Legacy layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:08:41 GMT 2024","passed","Mon Dec 02 06:09:07 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageLegacyLayoutFromPageListing"
"","1","TC-010: User create Blank page (Flex layout) from Page Listing","V4.11.5 Basic UAT","Mon Dec 02 06:05:52 GMT 2024","unknown","Mon Dec 02 06:05:52 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","testCreateBlankPageFlexLayoutFromPageListing"
"","14159","TC-012: User publish page in the Page listing screen","V4.11.5 Basic UAT","Mon Dec 02 06:11:41 GMT 2024","passed","Mon Dec 02 06:11:55 GMT 2024","org.pftest.projects.V2.testcases.PageListingTest","Page Listing","org.pftest.projects.V2.testcases.PageListingTest","publishPageInThePageListingScreen"
